                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.52508,                0.50532,                0.92892,                0.89171,                0.75335,                0.89147,                0.71252,                0.80348,                0.88128,                 1.1729,             0.00045285,             0.00045285,             0.00045285
                     71,                 0.5581,                 0.5561,                0.96289,                0.84649,                0.87557,                0.91219,                0.70572,                 0.8008,                0.83267,                 1.2048,              0.0004387,              0.0004387,              0.0004387
                     72,                0.51523,                0.51485,                0.92981,                0.97822,                 0.8315,                0.91009,                0.66692,                0.80867,                0.81162,                 1.1795,             0.00042456,             0.00042456,             0.00042456
                     73,                0.53437,                0.53394,                0.94725,                0.92187,                0.84445,                 0.9125,                0.68614,                0.81464,                0.77414,                  1.177,             0.00041041,             0.00041041,             0.00041041
                     74,                0.51449,                0.49744,                 0.9377,                0.94989,                0.81155,                 0.9229,                0.70888,                0.84347,                0.75362,                 1.2206,             0.00039626,             0.00039626,             0.00039626
                     75,                0.51419,                0.49329,                0.93157,                0.84484,                0.86363,                  0.922,                0.71859,                0.82082,                0.82091,                 1.1967,             0.00038211,             0.00038211,             0.00038211
                     76,                0.50979,                0.49381,                0.90931,                0.83574,                0.86905,                0.89347,                0.70573,                0.84239,                0.89095,                 1.1924,             0.00036797,             0.00036797,             0.00036797
                     77,                0.51832,                 0.4917,                0.92517,                0.85781,                0.87113,                0.89796,                0.71682,                0.82773,                0.84996,                 1.1757,             0.00035382,             0.00035382,             0.00035382
                     78,                0.51678,                0.47375,                0.92934,                0.87525,                0.85475,                0.90691,                 0.7344,                0.77545,                0.72966,                 1.1462,             0.00033967,             0.00033967,             0.00033967
                     79,                0.50082,                0.48338,                0.93336,                0.92297,                 0.8353,                0.92473,                0.72873,                0.78603,                0.74753,                 1.1476,             0.00032553,             0.00032553,             0.00032553
                     80,                0.47878,                0.47529,                0.91816,                0.91609,                0.85454,                0.92906,                0.72934,                0.77612,                0.70793,                 1.1483,             0.00031138,             0.00031138,             0.00031138
                     81,                0.50969,                0.49616,                0.92697,                0.96105,                0.83635,                0.93123,                0.73761,                0.76908,                0.70321,                 1.1444,             0.00029723,             0.00029723,             0.00029723
                     82,                0.46988,                0.44947,                0.92477,                0.88084,                0.86732,                 0.9112,                0.71952,                0.79206,                0.73598,                 1.1925,             0.00028308,             0.00028308,             0.00028308
                     83,                0.48152,                0.44731,                0.91456,                0.92507,                0.84009,                0.90809,                0.70929,                 0.7866,                0.75497,                 1.1947,             0.00026894,             0.00026894,             0.00026894
                     84,                0.47188,                0.45927,                0.92519,                 0.8947,                0.85375,                0.92239,                0.72218,                0.77402,                0.68397,                 1.1861,             0.00025479,             0.00025479,             0.00025479
                     85,                0.46788,                0.43482,                0.91768,                0.95009,                0.86033,                0.92219,                0.71785,                 0.7705,                0.66936,                 1.1838,             0.00024064,             0.00024064,             0.00024064
                     86,                0.45343,                0.42901,                0.89557,                0.93187,                 0.8673,                0.92151,                0.71025,                0.75871,                0.67241,                 1.1768,              0.0002265,              0.0002265,              0.0002265
                     87,                 0.4495,                0.42507,                0.92328,                0.95619,                0.83205,                0.91945,                0.71622,                0.74609,                0.68913,                 1.1667,             0.00021235,             0.00021235,             0.00021235
                     88,                0.45472,                0.43647,                0.90728,                0.92954,                0.83418,                0.91955,                0.71878,                0.76051,                0.65924,                 1.1804,              0.0001982,              0.0001982,              0.0001982
                     89,                0.45802,                0.44308,                0.90919,                0.93044,                0.84004,                0.91804,                0.73286,                0.75143,                0.63559,                 1.1731,             0.00018406,             0.00018406,             0.00018406
                     90,                0.47914,                0.44249,                0.91403,                0.94791,                0.84069,                0.92457,                0.74378,                0.77429,                0.66207,                 1.1734,             0.00016991,             0.00016991,             0.00016991
                     91,                0.43664,                  0.503,                0.86883,                0.93514,                0.83651,                 0.9172,                0.72989,                0.78315,                0.71486,                 1.1747,             0.00015576,             0.00015576,             0.00015576
                     92,                0.41867,                0.45063,                0.85906,                0.86735,                0.90733,                0.91083,                0.72029,                0.77924,                0.77353,                 1.1786,             0.00014161,             0.00014161,             0.00014161
                     93,                0.38513,                0.41699,                0.85381,                0.92401,                0.88248,                0.92004,                0.71691,                0.74977,                 0.7685,                 1.1742,             0.00012747,             0.00012747,             0.00012747
                     94,                0.39088,                0.40213,                0.86087,                0.89762,                0.91371,                0.92441,                  0.721,                0.74891,                 0.7241,                 1.1866,             0.00011332,             0.00011332,             0.00011332
                     95,                0.38454,                0.37944,                0.86617,                0.89061,                0.93788,                 0.9247,                0.72649,                 0.7446,                0.67417,                 1.1887,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.36542,                0.35852,                 0.8381,                0.91085,                0.88973,                0.92875,                 0.7344,                0.74616,                0.64473,                 1.1854,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.35273,                0.35609,                0.85128,                0.93467,                0.88612,                0.92788,                0.73635,                0.74547,                0.64548,                 1.1843,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.36302,                0.37497,                0.84669,                0.92962,                0.86112,                0.92585,                0.74321,                0.74503,                0.67887,                 1.1817,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.33801,                0.35231,                0.83143,                0.91434,                 0.8373,                0.92444,                0.73303,                0.72912,                0.67911,                 1.1704,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.36432,                 0.3505,                0.85445,                0.96213,                0.80572,                 0.9251,                0.73622,                0.71937,                0.68889,                 1.1649,             2.8437e-05,             2.8437e-05,             2.8437e-05
