                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.59243,                0.56648,                0.95987,                0.76547,                0.74372,                0.71689,                0.53949,                  1.019,                 1.2061,                 1.3859,             0.00094093,             0.00094093,             0.00094093
                     71,                0.60591,                0.61831,                0.98445,                0.79096,                 0.7073,                0.77955,                0.58926,                0.90562,                 1.0166,                 1.2652,             0.00093385,             0.00093385,             0.00093385
                     72,                0.58192,                0.57971,                0.96302,                  0.912,                0.75487,                0.88962,                0.61412,                 1.0219,                0.92157,                 1.3576,             0.00092678,             0.00092678,             0.00092678
                     73,                0.61395,                0.59474,                0.98128,                0.84052,                0.76739,                0.85366,                 0.6074,                0.97966,                0.93631,                 1.3291,              0.0009197,              0.0009197,              0.0009197
                     74,                0.59277,                 0.5735,                0.96586,                0.82499,                0.65743,                0.80936,                0.54961,                 1.0463,                 1.3155,                 1.3625,             0.00091263,             0.00091263,             0.00091263
                     75,                0.61385,                 0.5731,                0.97064,                0.88767,                0.71066,                0.83094,                 0.6188,                0.94542,                 1.1803,                 1.3046,             0.00090556,             0.00090556,             0.00090556
                     76,                0.58062,                0.58045,                0.93885,                0.80983,                0.78067,                0.84372,                 0.6391,                0.93543,                 1.0352,                 1.3214,             0.00089848,             0.00089848,             0.00089848
                     77,                0.59863,                0.58983,                0.96177,                0.86719,                0.74899,                0.81178,                0.63589,                0.88609,                 1.1172,                  1.257,             0.00089141,             0.00089141,             0.00089141
                     78,                0.58671,                0.55716,                0.96141,                0.90383,                0.67896,                0.78688,                0.62331,                 0.9261,                 1.3188,                 1.2672,             0.00088434,             0.00088434,             0.00088434
                     79,                0.56433,                0.55447,                0.95937,                0.80119,                0.76403,                0.78449,                0.59149,                0.98729,                 1.3744,                 1.2989,             0.00087726,             0.00087726,             0.00087726
