                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.51658,                0.48765,                0.93356,                0.91362,                0.75364,                0.90479,                0.72892,                0.71713,                0.71082,                  1.132,             0.00062969,             0.00062969,             0.00062969
                    115,                0.48334,                0.47258,                0.92785,                0.83984,                0.87147,                0.90197,                0.71648,                0.73618,                0.69571,                 1.1469,             0.00062262,             0.00062262,             0.00062262
                    116,                0.50797,                0.48966,                0.94426,                0.89864,                0.80099,                0.88337,                0.71596,                0.75056,                0.69147,                 1.1374,             0.00061554,             0.00061554,             0.00061554
                    117,                0.51097,                  0.498,                0.95071,                0.84307,                0.83607,                0.88157,                0.72985,                0.74837,                0.73689,                 1.1042,             0.00060847,             0.00060847,             0.00060847
                    118,                0.48958,                0.46913,                0.94089,                0.92083,                0.77764,                0.89491,                0.72485,                0.66928,                0.78036,                 1.0575,             0.00060139,             0.00060139,             0.00060139
                    119,                0.49967,                0.47559,                0.92068,                0.92147,                0.81055,                0.90509,                0.74265,                0.66971,                0.83853,                 1.0644,             0.00059432,             0.00059432,             0.00059432
                    120,                0.49901,                0.47337,                0.94036,                0.90337,                0.80763,                0.88864,                0.73138,                0.66313,                 1.0772,                 1.1183,             0.00058725,             0.00058725,             0.00058725
                    121,                0.48395,                0.44102,                0.90608,                 0.9359,                0.77185,                0.88037,                0.73484,                0.67564,                 1.2218,                 1.1649,             0.00058017,             0.00058017,             0.00058017
                    122,                0.49826,                0.47028,                0.93011,                0.90122,                0.76836,                0.88592,                0.72708,                0.79155,                 1.3176,                  1.269,              0.0005731,              0.0005731,              0.0005731
                    123,                0.48523,                0.46053,                 0.9267,                0.91564,                0.72228,                0.88737,                 0.7254,                0.74636,                 1.1205,                 1.1761,             0.00056603,             0.00056603,             0.00056603
                    124,                0.50881,                0.45397,                0.93236,                0.93189,                0.75231,                0.88912,                0.72753,                0.73947,                 1.1686,                 1.1671,             0.00055895,             0.00055895,             0.00055895
                    125,                0.47903,                0.44929,                0.91676,                0.87471,                 0.8305,                 0.9197,                0.72977,                0.81059,                 1.1249,                 1.1951,             0.00055188,             0.00055188,             0.00055188
                    126,                0.47046,                0.43072,                0.92654,                 0.8221,                 0.8827,                0.91528,                0.72257,                0.76275,                 0.9973,                 1.1945,             0.00054481,             0.00054481,             0.00054481
                    127,                0.48185,                0.44965,                0.92978,                0.79912,                0.89739,                0.90213,                 0.6946,                0.75766,                0.74581,                 1.2539,             0.00053773,             0.00053773,             0.00053773
                    128,                0.50517,                0.47043,                0.92932,                0.81738,                 0.8432,                0.88943,                0.69426,                0.95673,                0.89724,                 1.3961,             0.00053066,             0.00053066,             0.00053066
                    129,                0.46457,                0.45693,                0.91211,                0.80233,                0.82036,                0.88682,                0.69836,                0.85315,                 1.0837,                  1.301,             0.00052359,             0.00052359,             0.00052359
                    130,                0.47445,                0.42954,                0.92586,                 0.8607,                0.86668,                 0.9045,                0.72332,                0.75271,                0.73907,                 1.1821,             0.00051651,             0.00051651,             0.00051651
                    131,                0.49371,                0.47001,                 0.9226,                0.91198,                0.74312,                0.88935,                 0.7206,                  0.706,                0.71506,                  1.191,             0.00050944,             0.00050944,             0.00050944
                    132,                0.52342,                0.46599,                0.92121,                0.74251,                0.87252,                0.88528,                0.72093,                0.69603,                0.72943,                 1.2146,             0.00050236,             0.00050236,             0.00050236
                    133,                0.46792,                0.43393,                0.91359,                0.87394,                 0.7342,                 0.8762,                0.69965,                0.77127,                0.77996,                 1.2736,             0.00049529,             0.00049529,             0.00049529
                    134,                0.45973,                0.42197,                0.93918,                0.89837,                0.80414,                0.88644,                0.71549,                0.83081,                0.77322,                 1.3418,             0.00048822,             0.00048822,             0.00048822
                    135,                0.46055,                0.45304,                0.92922,                0.81368,                0.84862,                0.88831,                0.69045,                0.92499,                0.73845,                 1.4325,             0.00048114,             0.00048114,             0.00048114
                    136,                0.46041,                 0.4191,                 0.9105,                0.87227,                0.81987,                0.87641,                0.68366,                0.88778,                 0.7009,                 1.4247,             0.00047407,             0.00047407,             0.00047407
                    137,                0.46304,                0.43778,                0.91102,                0.80732,                0.76329,                0.84068,                0.65926,                0.80117,                 1.2911,                 1.3573,               0.000467,               0.000467,               0.000467
                    138,                 0.4574,                0.43081,                0.92181,                0.74278,                0.78669,                0.81183,                0.61488,                0.82187,                 1.8767,                 1.3522,             0.00045992,             0.00045992,             0.00045992
                    139,                0.47028,                0.44123,                0.91795,                0.73954,                 0.7904,                0.82175,                0.63716,                0.79328,                 1.5286,                 1.2946,             0.00045285,             0.00045285,             0.00045285
                    140,                0.43443,                0.41197,                0.90178,                 0.7532,                0.81083,                0.85574,                0.67952,                 0.8011,                 1.4588,                 1.2302,             0.00044578,             0.00044578,             0.00044578
                    141,                0.45639,                0.41655,                0.92765,                0.74835,                0.83537,                0.87858,                 0.7007,                0.78908,                 1.3003,                  1.196,              0.0004387,              0.0004387,              0.0004387
                    142,                0.48112,                0.43079,                0.91367,                0.78618,                0.81607,                0.88763,                0.68574,                0.78928,                 1.0391,                  1.204,             0.00043163,             0.00043163,             0.00043163
                    143,                0.45582,                0.42544,                 0.9172,                0.93423,                0.71965,                 0.8781,                0.69383,                0.75637,                0.84679,                 1.1783,             0.00042456,             0.00042456,             0.00042456
                    144,                0.44496,                0.40412,                0.90531,                0.85632,                0.85362,                 0.8812,                 0.6957,                0.76462,                  0.783,                 1.1816,             0.00041748,             0.00041748,             0.00041748
